experiment_id,parent_experiment_id,config_diff,command,checkpoint_path,validation_psnr,validation_ssim,validation_lpips,runtime_s,reason
E000-ls5,,closed_form_linear_ls5; kernel=5; global filter,python train.py --config configs/final.yaml --data_root /Users/shanmukhsai/Downloads --seed 42 --closed_form_linear --out weights/best.pt,weights/best.pt,26.327676082383558,0.6599890989995291,0.39992,24.9,incumbent parent
E001-nafsr-20k-budget,E000-ls5,configs/final.yaml; requested 20000 gradient iterations,python train.py --config configs/final.yaml --data_root /Users/shanmukhsai/Downloads --seed 42 --iters 20000 --device cpu,,,,,51.1,"backtrack before full run: measured configured batch-32 step took 39 s, projecting about 216 hours for 20k; CUDA unavailable and MPS unavailable"
E002-raw-i2,E000-ls5,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 1, ""in_ch"": 1, ""intensity_bins"": 2, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 1}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E002-raw-i2,runs/backtrack_search/E002-raw-i2/checkpoint.pt,26.52201334,0.67286474,0.36332459,15.06,improved parent by +0.194337 dB; promote and expand
E003-raw-i4,E002-raw-i2,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 1, ""in_ch"": 1, ""intensity_bins"": 4, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 1}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E003-raw-i4,runs/backtrack_search/E003-raw-i4/checkpoint.pt,26.65213005,0.68330789,0.35366691,13.90,improved parent by +0.130117 dB; promote and expand
E004-raw-i8,E003-raw-i4,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 1, ""in_ch"": 1, ""intensity_bins"": 8, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 1}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E004-raw-i8,runs/backtrack_search/E004-raw-i8/checkpoint.pt,26.70049427,0.68710376,0.35018453,15.17,improved parent by +0.048364 dB; promote and expand
E005-mean3-i8,E004-raw-i8,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 3, ""in_ch"": 1, ""intensity_bins"": 8, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 1}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E005-mean3-i8,runs/backtrack_search/E005-mean3-i8/checkpoint.pt,26.78186020,0.69093435,0.35887537,16.16,improved parent by +0.081366 dB; promote and expand
E006-mean3-i8-s2,E005-mean3-i8,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 3, ""in_ch"": 1, ""intensity_bins"": 8, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 2}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E006-mean3-i8-s2,runs/backtrack_search/E006-mean3-i8-s2/checkpoint.pt,27.12681954,0.71522865,0.33396694,17.93,improved parent by +0.344959 dB; promote and expand
E007-mean3-i8-s4,E006-mean3-i8-s2,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 3, ""in_ch"": 1, ""intensity_bins"": 8, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 4}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E007-mean3-i8-s4,runs/backtrack_search/E007-mean3-i8-s4/checkpoint.pt,27.31634397,0.72387623,0.32632988,19.52,improved parent by +0.189524 dB; promote and expand
E008-mean3-i8-s8,E007-mean3-i8-s4,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 3, ""in_ch"": 1, ""intensity_bins"": 8, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 8}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E008-mean3-i8-s8,runs/backtrack_search/E008-mean3-i8-s8/checkpoint.pt,27.37916886,0.72590161,0.32606768,23.87,improved parent by +0.062825 dB; promote and expand
E009-mean3-i16-s8,E008-mean3-i8-s8,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 3, ""in_ch"": 1, ""intensity_bins"": 16, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 8}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E009-mean3-i16-s8,runs/backtrack_search/E009-mean3-i16-s8/checkpoint.pt,27.40816527,0.72772194,0.32574266,35.88,improved parent by +0.028996 dB; promote and expand
E010-mean3-i16-s16,E009-mean3-i16-s8,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 3, ""in_ch"": 1, ""intensity_bins"": 16, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 16}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E010-mean3-i16-s16,runs/backtrack_search/E010-mean3-i16-s16/checkpoint.pt,27.43046852,0.72838489,0.32615985,58.33,improved parent by +0.022303 dB; promote and expand
E011-mean3-i32-s8,E010-mean3-i16-s16,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 3, ""in_ch"": 1, ""intensity_bins"": 32, ""kernel_size"": 5, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 8}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E011-mean3-i32-s8,runs/backtrack_search/E011-mean3-i32-s8/checkpoint.pt,27.41597432,0.72818014,0.32666109,49.82,no PSNR improvement; backtrack to E010-mean3-i16-s16 at 27.430469 dB
E012-k7-mean3-i16-s8,E010-mean3-i16-s16,"{""fit"": {""ridge"": 0.0001, ""train_partition_only"": true}, ""model"": {""gate_window"": 3, ""in_ch"": 1, ""intensity_bins"": 16, ""kernel_size"": 7, ""name"": ""AdaptiveLinearSR"", ""out_ch"": 1, ""scale"": 2, ""std_bins"": 8}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node E012-k7-mean3-i16-s8,runs/backtrack_search/E012-k7-mean3-i16-s8/checkpoint.pt,27.43758665,0.73003930,0.32245810,40.17,improved parent by +0.007118 dB; promote and expand
F001-tta,E012-k7-mean3-i16-s8,"{""inference"": {""tta"": true}}",python scripts/backtrack_search.py --data_root /Users/shanmukhsai/Downloads --out_root runs/backtrack_search --target 29.0 --max_trials 11 --device cpu  # node F001-tta; internal 8-way dihedral evaluation,weights/best.pt,27.43788555,0.73004905,0.32313809,23.29,improved parent by +0.000299 dB; keep TTA
