run_id,timestamp_utc,git_sha,config,seed,model,params,iters,batch_size,lr_patch,structural_kind,best_iter,best_psnr,best_ssim,best_lpips,val_n,weights_used,wall_clock_s,wall_clock_hms,checkpoint,device,notes
20260815T081652Z-final-closed-form-s42,2026-08-15T08:16:52Z,fcd44e73b0c5a43bddb184dafbeb3adf29675960-dirty,configs/final.yaml,42,NAFSR,388225,0,0,0,n/a,0,26.3277,0.65999,,400,ema,24.9,0:00:25,weights/best.pt,cpu,phase1-closed-form-ls5
20260815T105016Z-residual-ls5-s42,2026-08-15T11:28:28Z,c9834fda713c136400651f60c20b0bd77a9d98c7-dirty,configs/final.yaml,42,NAFSR,175681,3000,32,64,,3000,29.2597,0.78387,,100,ema,2283.2,0:38:03,results/residual_experiments/r1_nb4/model.pt,mps,phase2-r1-nb4-ls0.02-lr2e-4
20260815T113000Z-residual-ls5-s42-diskverified,2026-08-15T11:35:00Z,c9834fda713c136400651f60c20b0bd77a9d98c7-dirty,configs/final.yaml,42,NAFSR,175681,3000,32,64,,3000,27.7625,0.74462,0.30776,400,ema,,,results/residual_experiments/r1_nb4/model.pt,mps,phase2-r1-nb4-diskverified-V30-full400split-supersedes-inloop-n100-row
20260815T113856Z-residual-ls5-s42,2026-08-15T14:11:24Z,73696a694d3b2be13fe17d2dc4e891d2165da020-dirty,configs/phase4_psnr_focus.yaml,42,NAFSR,246529,4000,32,64,,4000,29.5535,0.78727,,100,ema,9133.6,2:32:14,results/residual_experiments/r2_nb8_psnrloss/model.pt,mps,phase4-nb8-psnrloss
20260815T141124Z-residual-ls5-s42-nb8-diskverified,2026-08-15T14:15:00Z,73696a694d3b2be13fe17d2dc4e891d2165da020-dirty,configs/phase4_psnr_focus.yaml,42,NAFSR,246529,4000,32,64,,4000,28.0394,0.74804,0.29571,400,ema,9133.6,2:32:14,results/residual_experiments/r2_nb8_psnrloss/model.pt,mps,phase4-nb8-psnrloss-diskverified-V30-full400split-KEEP-beats-r1nb4-on-all3-metrics
20260815T062831Z-final-s42,2026-08-15T07:40:41Z,80e7fb049367afe99fbcabb8e5469861f630fecc-dirty,configs/final.yaml,42,NAFSR,388225,20000,32,64,ssim,20000,28.7851,0.78279,0.25233,400,ema,4303.5,1:11:43,weights/hosted-best-20k.pt,NVIDIA GeForce RTX 4060 Laptop GPU,historical-hosted-iter1-nafsr-20k-not-tracked-default
20260815T174833Z-baseline_unet-s42,2026-08-15T18:04:30Z,3e230c6c4099b7f2051b55dc93d324d7dc5e6bc8,configs/baseline_unet.yaml,42,UNetSR,2970401,20000,32,64,ssim,20000,28.8786,0.7826,0.26344,400,ema,942.7,0:15:43,weights/baseline_unet.pt,NVIDIA GeForce RTX 4060 Laptop GPU,historical-unet-baseline-20k
20260816T184302Z-film_validation-s42,2026-08-16T18:55:51Z,0cbe895fff38037a6be47c1d66899a1bb4b3da4b-dirty,configs/film_validation.yaml,42,NAFSR,502978,3000,32,64,ssim,2500,28.4077,0.76613,0.27551,400,ema,750.6,0:12:31,weights/_film_validation_probe.pt,NVIDIA GeForce RTX 4060 Laptop GPU,
20260816T185734Z-final-s42,2026-08-16T19:08:50Z,0cbe895fff38037a6be47c1d66899a1bb4b3da4b-dirty,configs/final.yaml,42,NAFSR,388225,3000,32,64,ssim,2500,28.4145,0.76429,0.28146,400,ema,659.3,0:10:59,weights/_plain_control_probe.pt,NVIDIA GeForce RTX 4060 Laptop GPU,
20260817T095657Z-long_run_e-s42,2026-08-17T10:03:04Z,84bba7a1a9f10cf781b23235d0d4940a75bd3e46-dirty,configs/long_run_e.yaml,42,NAFSR,1393938,76020,32,64,ssim,76020,29.2217,0.79143,0.24638,400,ema,337.4,0:05:37,C:/Users/sahit/AppData/Local/Temp/dryrun/dryrun_best.pt,NVIDIA GeForce RTX 4060 Laptop GPU,DRY-RUN sanity check of --resume/--push_every/--val_lpips wiring only (20 extra iters at LR near min_lr via --iters override -- NOT the finetune_horizon path); not a real fine-tune, disregard for model selection
